stamp	navigation_system	satellite_num	satellite_frequency 1 3 3	elevation	azimuth	
     2	15	122	0	0	22	9216
     4	193	174	173	0	43	43520
     5	14	182	196	0	55	50688
     0	32	180	136	0	65	28160
     3	19	157	166	126	80	44544
     5	3	153	180	0	50	49920
     5	4	129	144	0	31	30976
     3	1	190	180	134	57	64000
     5	2	127	0	0	36	59392
     1	128	120	0	0	36	59648
     1	137	161	0	0	43	34816
     1	129	150	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299165.047
     5	10	163	187	0	48	57856
     5	7	169	160	0	72	57344
     2	9	95	0	0	26	65024
     5	1	153	180	0	46	36608
     0	22	88	0	0	25	10753
     0	29	127	0	0	27	23808
     2	5	189	170	0	44	42496
     0	26	196	156	0	50	55808
     2	15	122	0	0	22	9216
     4	193	173	173	0	43	43520
     5	14	183	198	0	55	50688
     0	32	179	136	0	65	28160
     3	19	158	166	126	80	44544
     5	3	153	181	0	50	49920
     5	4	130	147	0	31	30976
     3	1	190	180	136	57	64000
     5	2	126	0	0	36	59392
     1	128	121	0	0	36	59648
     1	137	162	0	0	43	34816
     1	129	151	0	0	43	34816
    10	14	184	0	0	43	35328
--------------------------
1568299166.042
     5	10	164	187	0	48	57856
     5	7	169	159	0	72	57344
     2	9	103	0	0	26	65024
     5	1	154	180	0	46	36608
     0	22	89	0	0	25	10753
     0	29	129	0	0	27	23808
     2	5	191	169	0	44	42496
     0	26	197	155	0	50	55808
     2	15	122	0	0	22	9216
     4	193	175	173	0	43	43520
     5	14	184	199	0	55	50688
     0	32	178	137	0	65	28160
     3	19	162	167	129	80	44544
     5	3	153	181	0	50	49920
     5	4	129	144	0	31	30976
     3	1	191	182	136	57	64000
     5	2	123	0	0	36	59392
     1	128	114	0	0	36	59648
     1	137	158	0	0	43	34816
